long,lat,id,estacion,linea
-58.3709684989674,-34.6088103091689,70.0,PLAZA DE MAYO,A
-58.4623784082243,-34.5556417664261,71.0,CONGRESO DE TUCUMAN,D
-58.3699298501224,-34.6029894966332,72.0,LEANDRO N. ALEM,B
-58.4662272046921,-34.5840946201161,73.0,TRONADOR - VILLA ORTÚZAR,B
-58.4742408261771,-34.5812488459579,74.0,DE LOS INCAS -PQUE. CHAS,B
-58.4567097975238,-34.6266665931803,75.0,CARABOBO,A
-58.4486476540264,-34.6235289528893,76.0,PUAN,A
-58.4054503284842,-34.6044902016081,77.0,CORRIENTES,H
-58.4057948259686,-34.6384059882851,78.0,PARQUE PATRICIOS,H
-58.4123851512005,-34.6412689433909,79.0,HOSPITALES,H
-58.4810135036721,-34.5777973775423,80.0,ECHEVERRÍA,B
-58.4863853478891,-34.5743189142748,81.0,JUAN MANUEL DE ROSAS - VILLA URQUIZA,B
-58.4696396292247,-34.630707087006,83.0,SAN PEDRITO,A
-58.4635405106286,-34.629087226797,82.0,SAN JOSÉ DE FLORES,A
-58.4037214964387,-34.5984551117734,84.0,CÓRDOBA,H
-58.3972155751019,-34.5874615464262,85.0,LAS HERAS,H
-58.4023761750349,-34.5945253962188,86.0,SANTA FE - CARLOS JAUREGUI,H
-58.39101882656,-34.5830363400093,87.0,FACULTAD DE DERECHO - JULIETA LANTERI,H
-58.3758498374305,-34.592114361931,90.0,RETIRO,E
-58.3717003329901,-34.596596818975,89.0,CATALINAS,E
-58.3704125010713,-34.6030139059231,88.0,CORREO CENTRAL,E
